InvoiceID,Store_Branch,City,Customer_ID,Customer_Name,Gender,Age,Customer_Type,Product_Category,Product_Name,Unit_Price,Quantity,Discount,Tax,Gross_Amount,Discount_Amount,Tax_Amount,Total_Amount,Payment_Method,Purchase_Date,Satisfaction_Rating
INV100014,B,Los Angeles,CUST1312,Candice Molina,Female,37,Member,Accessories,SanDisk 128GB USB 3.1,28.72,1,5,7.04,28.72,1.44,1.92,29.2,Credit Card,2024-03-26 00:00:00,9
INV100015,D,Houston,CUST1213,Andrew Jenkins,Male,43,Non-Member,Appliances,Ninja Air Fryer,141.68,1,0,8.72,141.68,0,12.35,154.03,Ewallet,2024-09-17 00:00:00,5
INV100016,C,Chicago,CUST1139,Michael Price,Male,31,Member,Accessories,SanDisk 128GB USB 3.1,25.92,2,15,7.03,51.84,7.78,3.1,47.16,Ewallet,2024-02-13 00:00:00,8
INV100017,D,Houston,CUST1386,John Lopez,Female,54,Non-Member,Laptops,Acer Swift 3,837.16,3,5,8.13,2511.48,125.57,193.97,2579.88,Ewallet,2024-08-04 00:00:00,10
INV100018,C,Chicago,CUST1155,Erik Miller,Male,30,Member,Appliances,Whirlpool Washing Machine,574.72,1,0,9.17,574.72,0,52.7,627.42,UPI,2024-05-04 00:00:00,5
INV100019,A,New York,CUST1109,Tom Davis,Female,36,Member,Audio,Bose SoundLink Flex,155.73,1,5,7.19,155.73,7.79,10.64,158.58,Cash,2024-01-29 00:00:00,3
INV100020,C,Chicago,CUST1287,John Jones,Female,35,Member,Laptops,HP Envy 15,937.24,1,0,8.57,937.24,0,80.32,1017.56,Ewallet,2024-02-13 00:00:00,5
INV100021,C,Chicago,CUST1312,Candice Molina,Female,37,Member,Accessories,Keychron K2 Keyboard,85.42,1,10,8.24,85.42,8.54,6.33,83.21,Ewallet,2024-01-07 00:00:00,3
INV100022,A,New York,CUST1375,Thomas Castillo,Female,18,Member,Smartphones,iPhone 14,823.42,1,5,7.62,823.42,41.17,59.61,841.86,Credit Card,2024-03-12 00:00:00,9
INV100023,B,Los Angeles,CUST1377,Keith Vargas,Female,53,Member,Audio,AirPods Pro,282.98,1,0,7.18,282.98,0,20.32,303.3,Credit Card,2024-05-04 00:00:00,7
INV100024,B,Los Angeles,CUST1218,Cynthia Barnett,Male,40,Member,Audio,Anker Soundcore Life Q30,91.26,3,0,9.57,273.78,0,26.2,299.98,Credit Card,2024-06-12 00:00:00,5
INV100025,A,New York,CUST1000,Timothy Jones,Female,53,Member,Smartphones,Samsung Galaxy S23,772.08,1,5,10.03,772.08,38.6,73.57,807.04,Credit Card,2024-09-27 00:00:00,8
INV100026,B,Los Angeles,CUST1147,Peter Anderson Jr.,Female,24,Member,Appliances,Instant Pot Duo,128.6,1,5,7.21,128.6,6.43,8.81,130.98,Ewallet,2024-03-15 00:00:00,9
INV100027,A,New York,CUST1196,Scott Gibson,Male,40,Member,Accessories,Logitech MX Master 3 Mouse,112.33,1,0,9.23,112.33,0,10.37,122.7,Credit Card,2024-04-29 00:00:00,10
INV100028,D,Houston,CUST1338,John Hill,Male,18,Member,Laptops,Dell XPS 13,1516.17,1,10,7.04,1516.17,151.62,96.06,1460.62,Credit Card,2024-06-10 00:00:00,8
INV100029,C,Chicago,CUST1208,James Good,Female,18,Non-Member,Accessories,SanDisk 128GB USB 3.1,24.76,3,5,8.94,74.28,3.71,6.31,76.87,Credit Card,2024-06-04 00:00:00,8
INV100030,D,Houston,CUST1235,Anthony Taylor,Male,23,Member,Accessories,SanDisk 128GB USB 3.1,31.4,1,15,8.57,31.4,4.71,2.29,28.98,Ewallet,2024-07-17 00:00:00,7
INV100031,B,Los Angeles,CUST1371,Tyler Stewart,Female,30,Non-Member,Audio,AirPods Pro,154.07,1,25,8.84,154.07,38.52,10.21,125.77,UPI,2024-05-27 00:00:00,3
INV100032,A,New York,CUST1323,Olivia Moore,Female,62,Non-Member,Appliances,Whirlpool Washing Machine,526.22,1,20,8.58,526.22,105.24,36.12,457.1,Credit Card,2024-07-19 00:00:00,6
INV100033,B,Los Angeles,CUST1064,Brandi Huang,Female,37,Member,Smartphones,Google Pixel 7,760.34,2,0,8.3,1520.68,0,126.22,1646.9,UPI,2024-03-14 00:00:00,9
INV100034,C,Chicago,CUST1110,Roberto Michael,Female,58,Non-Member,Appliances,Samsung Microwave,189.98,1,0,8.37,189.98,0,15.9,205.88,Credit Card,2024-04-26 00:00:00,6
INV100035,A,New York,CUST1121,Mathew Gomez,Male,19,Non-Member,Appliances,Instant Pot Duo,128,1,5,8.91,128,6.4,10.83,132.43,Credit Card,2024-06-20 00:00:00,7
INV100036,A,New York,CUST1029,Kelsey Ortiz,Male,59,Member,Appliances,Samsung Microwave,174.21,1,0,8.98,174.21,0,15.64,189.85,Cash,2024-03-16 00:00:00,5
INV100037,C,Chicago,CUST1348,Richard Brown,Female,49,Non-Member,Accessories,SanDisk 128GB USB 3.1,31.97,2,5,9.14,63.94,3.2,5.55,66.29,Ewallet,2024-08-31 00:00:00,8
INV100038,A,New York,CUST1351,Eric Morris,Female,61,Non-Member,Accessories,SanDisk 128GB USB 3.1,27.2,1,5,8.92,27.2,1.36,2.3,28.14,Credit Card,2024-07-24 00:00:00,9
INV100039,D,Houston,CUST1243,James Gonzalez,Female,64,Non-Member,Accessories,SanDisk 128GB USB 3.1,26.83,1,15,6.79,26.83,4.02,1.55,24.35,Ewallet,2024-01-12 00:00:00,8
INV100040,A,New York,CUST1021,Joel Horne,Female,47,Member,Appliances,Ninja Air Fryer,150.47,2,0,8.93,300.94,0,26.87,327.81,Credit Card,2024-06-07 00:00:00,8
INV100041,D,Houston,CUST1189,Dale Ellis,Female,20,Member,Appliances,Philips Blender,71.78,2,0,9.18,143.56,0,13.18,156.74,Credit Card,2024-03-05 00:00:00,5
INV100042,B,Los Angeles,CUST1048,Dennis Hall DVM,Male,65,Member,Accessories,Laptop Backpack,69.72,2,5,8.06,139.44,6.97,10.68,143.14,Credit Card,2024-09-23 00:00:00,8
INV100043,A,New York,CUST1018,Kathryn Newman,Female,36,Member,Appliances,Philips Blender,71.14,2,15,8.01,142.28,21.34,9.69,130.63,Credit Card,2024-01-18 00:00:00,8
INV100044,A,New York,CUST1240,Troy Johnson,Male,19,Member,Accessories,Anker 65W USB-C Charger,46.65,2,5,9.87,93.3,4.67,8.75,97.38,Credit Card,2024-03-26 00:00:00,9
INV100045,D,Houston,CUST1097,Kelly Reyes,Female,21,Member,Laptops,Dell XPS 13,1055.96,1,0,8.63,1055.96,0,91.13,1147.09,Cash,2024-06-02 00:00:00,7
INV100046,A,New York,CUST1310,Susan Alvarado,Male,51,Member,Accessories,SanDisk 128GB USB 3.1,35.74,1,0,7.92,35.74,0,2.83,38.57,Credit Card,2024-04-27 00:00:00,6
INV100047,D,Houston,CUST1059,Robert Smith,Female,22,Non-Member,Appliances,Ninja Air Fryer,143.16,1,0,7.76,143.16,0,11.11,154.27,Credit Card,2024-06-30 00:00:00,9
INV100048,D,Houston,CUST1136,Kristen Davis,Female,62,Member,Audio,Sony WH-1000XM5,454.25,1,5,7.95,454.25,22.71,34.31,465.84,Cash,2024-06-05 00:00:00,9
INV100049,A,New York,CUST1336,Rachel Grant,Male,42,Member,Laptops,MacBook Air,1202.66,4,20,8.9,4810.64,962.13,342.52,4191.03,Cash,2024-02-26 00:00:00,10
INV100050,A,New York,CUST1325,Stephanie Stevens,Male,24,Member,Audio,Sony WH-1000XM5,325.47,3,0,6.85,976.41,0,66.88,1043.29,Ewallet,2024-06-21 00:00:00,10
INV100051,D,Houston,CUST1011,Lauren King,Male,26,Non-Member,Appliances,Ninja Air Fryer,135.06,1,5,6.92,135.06,6.75,8.88,137.19,Ewallet,2024-04-07 00:00:00,8
INV100052,D,Houston,CUST1063,Douglas Wood,Female,21,Non-Member,Appliances,Ninja Air Fryer,131.29,1,15,8.04,131.29,19.69,8.97,120.57,Credit Card,2024-07-03 00:00:00,8
INV100053,C,Chicago,CUST1265,Kimberly Pearson,Male,22,Non-Member,Smartphones,iPhone 14,983.71,2,0,9.27,1967.42,0,182.38,2149.8,Credit Card,2024-05-04 00:00:00,8
INV100054,C,Chicago,CUST1368,David Graves,Male,44,Member,Accessories,Logitech MX Master 3 Mouse,95.35,2,5,8.02,190.7,9.54,14.53,195.69,Cash,2024-05-08 00:00:00,9
INV100055,D,Houston,CUST1168,Benjamin Carter,Male,50,Member,Accessories,Anker 65W USB-C Charger,56.81,2,5,7.35,113.62,5.68,7.93,115.87,Ewallet,2024-02-21 00:00:00,6
INV100056,A,New York,CUST1196,Scott Gibson,Male,40,Member,Audio,Bose SoundLink Flex,120.92,2,5,7.75,241.84,12.09,17.81,247.55,Ewallet,2024-03-21 00:00:00,8
INV100057,C,Chicago,CUST1209,Keith Rodriguez,Female,55,Member,Smartphones,iPhone 14,877.09,2,0,9.96,1754.18,0,174.72,1928.9,UPI,2024-02-27 00:00:00,9
INV100058,B,Los Angeles,CUST1156,Richard Walton,Male,43,Member,Accessories,Laptop Backpack,65.19,2,15,7.25,130.38,19.56,8.03,118.86,Ewallet,2024-05-02 00:00:00,6
INV100059,A,New York,CUST1124,Michael Mora,Female,26,Non-Member,Audio,Sony WH-1000XM5,309.36,1,0,8.4,309.36,0,25.99,335.35,Cash,2024-03-26 00:00:00,6
INV100060,A,New York,CUST1218,Cynthia Barnett,Male,40,Member,Laptops,Acer Swift 3,951.47,1,10,8.69,951.47,95.15,74.41,930.74,Credit Card,2024-09-17 00:00:00,9
INV100061,C,Chicago,CUST1384,Hannah Jimenez,Male,44,Non-Member,Audio,Bose SoundLink Flex,158.82,4,10,8.03,635.28,63.53,45.91,617.66,Ewallet,2024-09-07 00:00:00,5
INV100062,D,Houston,CUST1396,Anthony Reynolds,Female,59,Non-Member,Accessories,Logitech MX Master 3 Mouse,110.78,1,5,9.11,110.78,5.54,9.59,114.83,Credit Card,2024-09-15 00:00:00,8
INV100063,A,New York,CUST1370,Lauren Warren,Male,57,Member,Audio,Bose SoundLink Flex,128.31,1,0,8.11,128.31,0,10.41,138.72,Credit Card,2024-09-17 00:00:00,5
INV100064,D,Houston,CUST1076,Anna Herrera,Female,53,Member,Accessories,SanDisk 128GB USB 3.1,32.87,2,20,8.07,65.74,13.15,4.24,56.84,Credit Card,2024-05-06 00:00:00,7
INV100065,D,Houston,CUST1352,Kimberly Cooper,Female,21,Member,Accessories,Logitech MX Master 3 Mouse,111.14,1,10,8.62,111.14,11.11,8.62,108.65,Credit Card,2024-03-06 00:00:00,9
INV100066,C,Chicago,CUST1014,Jacqueline Madden,Female,38,Member,Laptops,Lenovo ThinkPad T14,1356.55,2,0,10.33,2713.1,0,280.26,2993.36,Ewallet,2024-02-01 00:00:00,10
INV100067,A,New York,CUST1388,Joyce Shelton,Male,31,Member,Smartphones,Samsung Galaxy S23,915.67,4,0,9.96,3662.68,0,364.8,4027.48,Credit Card,2024-01-30 00:00:00,8
INV100068,A,New York,CUST1086,Michael Burke,Male,27,Member,Smartphones,iPhone 14,853.04,2,25,8.08,1706.08,426.52,103.39,1382.95,Ewallet,2024-05-17 00:00:00,9
INV100069,A,New York,CUST1271,Juan Deleon,Female,49,Non-Member,Accessories,Laptop Backpack,60.86,1,0,8.24,60.86,0,5.01,65.87,Cash,2024-04-22 00:00:00,9
INV100070,B,Los Angeles,CUST1373,Kim Johnson,Female,57,Member,Laptops,Dell XPS 13,1366.83,1,25,8.28,1366.83,341.71,84.88,1110,Credit Card,2024-05-05 00:00:00,7
INV100071,C,Chicago,CUST1353,Barbara Howard,Male,37,Member,Audio,Sony WH-1000XM5,321.2,1,0,9.13,321.2,0,29.33,350.53,Cash,2024-02-22 00:00:00,9
INV100072,D,Houston,CUST1383,Matthew Scott,Female,41,Non-Member,Audio,Anker Soundcore Life Q30,92.25,2,15,9.1,184.5,27.68,14.27,171.1,Credit Card,2024-05-27 00:00:00,8
INV100073,B,Los Angeles,CUST1065,Christopher Gray,Female,59,Non-Member,Smartphones,Google Pixel 7,688.05,2,5,9.47,1376.1,68.81,123.8,1431.1,Ewallet,2024-07-24 00:00:00,10
INV100074,C,Chicago,CUST1370,Lauren Warren,Male,57,Member,Accessories,SanDisk 128GB USB 3.1,29.3,3,5,9.77,87.9,4.39,8.16,91.66,Credit Card,2024-07-23 00:00:00,6
INV100075,A,New York,CUST1333,Ana Collins,Female,36,Non-Member,Accessories,SanDisk 128GB USB 3.1,30.88,2,0,7.97,61.76,0,4.92,66.68,Credit Card,2024-09-12 00:00:00,9
INV100076,A,New York,CUST1399,Amy Hampton,Male,55,Non-Member,Smartphones,Google Pixel 7,788.06,1,25,7.93,788.06,197.01,46.87,637.91,Credit Card,2024-03-24 00:00:00,8
INV100077,A,New York,CUST1007,Mr. Daniel Stanton Jr.,Male,21,Member,Accessories,SanDisk 128GB USB 3.1,26.17,4,0,10.12,104.68,0,10.59,115.27,Credit Card,2024-06-26 00:00:00,7
INV100078,A,New York,CUST1274,Mark Rodriguez,Male,40,Non-Member,Smartphones,Xiaomi 12T,565.7,1,0,9.92,565.7,0,56.12,621.82,Credit Card,2024-05-05 00:00:00,8
INV100079,B,Los Angeles,CUST1398,Craig Myers,Female,45,Member,Smartphones,iPhone 14,872.87,3,5,9.55,2618.61,130.93,237.57,2725.25,Ewallet,2024-09-05 00:00:00,10
INV100080,B,Los Angeles,CUST1055,Katie Schultz,Female,44,Non-Member,Laptops,Dell XPS 13,1275.36,1,5,8.86,1275.36,63.77,107.35,1318.94,Credit Card,2024-07-22 00:00:00,8
INV100081,A,New York,CUST1116,Aaron Murphy MD,Male,30,Member,Smartphones,OnePlus 11,679.93,1,0,9.37,679.93,0,63.71,743.64,Credit Card,2024-06-23 00:00:00,9
INV100082,D,Houston,CUST1163,Megan Michael,Male,26,Non-Member,Audio,Bose SoundLink Flex,143.11,3,5,7.37,429.33,21.47,30.06,437.92,Ewallet,2024-04-17 00:00:00,7
INV100083,B,Los Angeles,CUST1107,Cody Kelley,Male,59,Member,Laptops,Dell XPS 13,1297.54,2,10,9.61,2595.08,259.51,224.45,2560.02,Cash,2024-07-19 00:00:00,9
INV100084,C,Chicago,CUST1153,Taylor Ferguson,Female,33,Member,Accessories,Keychron K2 Keyboard,86.07,1,0,8.52,86.07,0,7.33,93.4,Ewallet,2024-01-08 00:00:00,7
INV100085,B,Los Angeles,CUST1004,Mr. Harold Walker,Female,42,Member,Smartphones,OnePlus 11,612.02,1,10,7.08,612.02,61.2,39,589.82,Ewallet,2024-03-23 00:00:00,6
INV100086,B,Los Angeles,CUST1006,David Thompson,Female,62,Member,Smartphones,iPhone 14,900.15,1,5,10.05,900.15,45.01,85.94,941.08,Credit Card,2024-09-01 00:00:00,10
INV100087,D,Houston,CUST1397,Mr. Michael Porter,Male,64,Member,Laptops,Acer Swift 3,860.75,1,5,7.86,860.75,43.04,64.27,881.98,Ewallet,2024-03-17 00:00:00,8
INV100088,D,Houston,CUST1117,Derek Haynes,Female,30,Member,Audio,Bose SoundLink Flex,159.55,4,10,6.65,638.2,63.82,38.2,612.58,Credit Card,2024-03-21 00:00:00,5
INV100089,B,Los Angeles,CUST1156,Richard Walton,Male,43,Member,Smartphones,iPhone 14,901.83,1,5,7.78,901.83,45.09,66.65,923.39,Credit Card,2024-05-01 00:00:00,8
INV100090,A,New York,CUST1246,Christina Jones,Male,38,Non-Member,Accessories,Anker 65W USB-C Charger,48.2,3,25,7.69,144.6,36.15,8.34,116.79,Ewallet,2024-04-24 00:00:00,4
INV100091,A,New York,CUST1287,John Jones,Female,35,Member,Appliances,Instant Pot Duo,144.83,2,0,9.55,289.66,0,27.66,317.32,Credit Card,2024-08-08 00:00:00,4
INV100092,C,Chicago,CUST1399,Amy Hampton,Male,55,Non-Member,Accessories,SanDisk 128GB USB 3.1,27.33,3,0,8.79,81.99,0,7.21,89.2,Credit Card,2024-07-29 00:00:00,3
INV100093,C,Chicago,CUST1270,Donald Hogan,Female,51,Member,Audio,AirPods Pro,251.73,1,0,7.69,251.73,0,19.36,271.09,Credit Card,2024-07-29 00:00:00,7
INV100094,A,New York,CUST1145,Dean Cardenas,Male,33,Member,Accessories,Keychron K2 Keyboard,96.61,3,5,8.78,289.83,14.49,24.17,299.51,Ewallet,2024-07-09 00:00:00,9
INV100095,C,Chicago,CUST1168,Benjamin Carter,Male,50,Member,Appliances,Samsung Microwave,189.1,1,0,8.45,189.1,0,15.98,205.08,Credit Card,2024-06-29 00:00:00,7
INV100096,B,Los Angeles,CUST1347,Joseph Ferguson,Female,27,Non-Member,Smartphones,Samsung Galaxy S23,872.79,2,5,10.1,1745.58,87.28,167.49,1825.79,Ewallet,2024-04-26 00:00:00,9
INV100097,A,New York,CUST1233,Natalie West,Female,43,Member,Audio,JBL Flip 6 Speaker,109.41,1,10,7.41,109.41,10.94,7.3,105.77,Credit Card,2024-05-17 00:00:00,4
INV100098,D,Houston,CUST1124,Michael Mora,Female,26,Non-Member,Smartphones,Samsung Galaxy S23,989.01,2,5,8.98,1978.02,98.9,168.74,2047.86,Credit Card,2024-04-14 00:00:00,10
INV100099,C,Chicago,CUST1328,Tiffany Gregory,Male,45,Non-Member,Audio,Sony WH-1000XM5,306.38,1,5,7.67,306.38,15.32,22.32,313.39,UPI,2024-05-21 00:00:00,5
INV100100,D,Houston,CUST1165,Jacqueline Fitzpatrick,Female,37,Non-Member,Accessories,SanDisk 128GB USB 3.1,27.74,1,5,7.9,27.74,1.39,2.08,28.43,Credit Card,2024-05-09 00:00:00,5
INV100101,C,Chicago,CUST1368,David Graves,Male,44,Member,Accessories,Anker 65W USB-C Charger,43.19,1,10,9.28,43.19,4.32,3.61,42.48,Cash,2024-03-23 00:00:00,9
INV100102,A,New York,CUST1138,Nicole Massey,Female,43,Member,Laptops,HP Envy 15,1130.14,4,5,7.84,4520.56,226.03,336.69,4631.22,Credit Card,2024-09-13 00:00:00,10
INV100103,C,Chicago,CUST1347,Joseph Ferguson,Female,27,Non-Member,Smartphones,Google Pixel 7,782.89,1,0,9.59,782.89,0,75.08,857.97,Ewallet,2024-09-07 00:00:00,6
INV100104,B,Los Angeles,CUST1234,John Conner,Female,32,Member,Smartphones,OnePlus 11,713.52,1,0,8.03,713.52,0,57.3,770.82,Credit Card,2024-01-08 00:00:00,7
INV100105,C,Chicago,CUST1237,Erik Sanchez,Male,42,Non-Member,Accessories,Keychron K2 Keyboard,81.76,2,0,9.35,163.52,0,15.29,178.81,Credit Card,2024-04-15 00:00:00,9
INV100106,D,Houston,CUST1017,Mark Erickson,Male,23,Member,Appliances,Ninja Air Fryer,137.51,1,0,8.89,137.51,0,12.22,149.73,Cash,2024-05-08 00:00:00,7
INV100107,A,New York,CUST1321,Hailey Doyle,Female,23,Non-Member,Laptops,HP Envy 15,1045.43,2,5,9.68,2090.86,104.54,192.28,2178.59,Ewallet,2024-03-12 00:00:00,10
INV100108,C,Chicago,CUST1286,Amanda Ray,Female,36,Non-Member,Smartphones,Samsung Galaxy S23,829.72,1,0,8.93,829.72,0,74.09,903.81,Credit Card,2024-08-02 00:00:00,8
INV100109,A,New York,CUST1100,Hannah Johnson,Female,38,Non-Member,Accessories,Laptop Backpack,64.36,1,0,10.42,64.36,0,6.71,71.07,Cash,2024-03-27 00:00:00,7
INV100110,C,Chicago,CUST1388,Joyce Shelton,Male,31,Member,Audio,AirPods Pro,264.31,1,5,8.77,264.31,13.22,22.02,273.12,Ewallet,2024-06-30 00:00:00,8
INV100111,B,Los Angeles,CUST1292,Kiara Gutierrez,Female,37,Non-Member,Accessories,Keychron K2 Keyboard,76.43,1,5,9.29,76.43,3.82,6.75,79.35,Credit Card,2024-03-24 00:00:00,8
INV100112,A,New York,CUST1272,Nicholas Hall,Male,44,Non-Member,Laptops,Acer Swift 3,927.27,2,5,7.69,1854.54,92.73,135.48,1897.3,Ewallet,2024-03-30 00:00:00,5
INV100113,C,Chicago,CUST1178,Lisa Mclean,Female,65,Non-Member,Laptops,Dell XPS 13,1350.99,1,0,7.64,1350.99,0,103.22,1454.21,Credit Card,2024-01-20 00:00:00,9
INV100114,B,Los Angeles,CUST1073,Abigail Wilson DDS,Male,47,Member,Laptops,Acer Swift 3,716.09,1,5,9.26,716.09,35.8,62.99,743.28,Ewallet,2024-07-30 00:00:00,8
INV100115,C,Chicago,CUST1023,Jared Greene,Female,27,Member,Accessories,Logitech MX Master 3 Mouse,105.25,1,5,9.4,105.25,5.26,9.4,109.39,Credit Card,2024-08-14 00:00:00,6
INV100116,A,New York,CUST1021,Joel Horne,Female,47,Member,Accessories,Keychron K2 Keyboard,100.59,1,0,7.63,100.59,0,7.68,108.27,Credit Card,2024-08-23 00:00:00,6
INV100117,D,Houston,CUST1347,Joseph Ferguson,Female,27,Non-Member,Appliances,Samsung Microwave,198.49,1,5,8.37,198.49,9.92,15.78,204.35,Ewallet,2024-01-20 00:00:00,7
INV100118,D,Houston,CUST1177,Darren Cook,Female,39,Member,Appliances,Samsung Microwave,182.91,3,0,8.17,548.73,0,44.83,593.56,Ewallet,2024-02-29 00:00:00,10
INV100119,A,New York,CUST1334,Edward Davies,Female,31,Member,Accessories,Anker 65W USB-C Charger,53.69,1,15,9.1,53.69,8.05,4.15,49.79,UPI,2024-01-18 00:00:00,6
INV100120,C,Chicago,CUST1293,Isabella Williams,Female,51,Member,Smartphones,Google Pixel 7,678.21,1,10,7.99,678.21,67.82,48.77,659.16,Ewallet,2024-09-19 00:00:00,9
INV100121,A,New York,CUST1176,Kaitlyn Howard,Female,38,Non-Member,Accessories,Logitech MX Master 3 Mouse,104.96,1,0,8.13,104.96,0,8.53,113.49,Credit Card,2024-09-01 00:00:00,8
INV100122,A,New York,CUST1001,Vanessa Dodson,Female,39,Member,Smartphones,Samsung Galaxy S23,689.58,1,20,8.98,689.58,137.92,49.54,601.2,Ewallet,2024-08-20 00:00:00,8
INV100123,A,New York,CUST1344,Mrs. Melanie Bush MD,Female,20,Member,Audio,Anker Soundcore Life Q30,80.81,3,0,8.52,242.43,0,20.66,263.09,Credit Card,2024-06-07 00:00:00,7
INV100124,D,Houston,CUST1385,Jamie Castillo,Male,39,Member,Audio,Sony WH-1000XM5,390.92,1,0,7.75,390.92,0,30.3,421.22,Cash,2024-01-10 00:00:00,9
INV100125,C,Chicago,CUST1225,Samantha Brown,Male,27,Non-Member,Smartphones,Xiaomi 12T,615.49,2,0,7.91,1230.98,0,97.37,1328.35,Credit Card,2024-02-29 00:00:00,10
INV100126,A,New York,CUST1087,Matthew Elliott,Female,30,Non-Member,Appliances,Ninja Air Fryer,119.69,4,5,7.74,478.76,23.94,35.2,490.03,Ewallet,2024-04-27 00:00:00,6
INV100127,C,Chicago,CUST1094,Kathleen Perez,Male,49,Member,Appliances,Instant Pot Duo,143.35,1,10,8.35,143.35,14.34,10.77,139.79,Credit Card,2024-02-23 00:00:00,10
INV100128,A,New York,CUST1168,Benjamin Carter,Male,50,Member,Accessories,Anker 65W USB-C Charger,53.3,4,15,7.58,213.2,31.98,13.74,194.96,Credit Card,2024-07-21 00:00:00,7
INV100129,B,Los Angeles,CUST1008,William Carr,Male,48,Non-Member,Smartphones,Samsung Galaxy S23,942.04,1,15,9.04,942.04,141.31,72.39,873.12,UPI,2024-09-20 00:00:00,10
INV100130,D,Houston,CUST1195,Nathan Whitney,Female,34,Member,Laptops,HP Envy 15,1049.77,2,0,8,2099.54,0,167.96,2267.5,Ewallet,2024-03-29 00:00:00,8
INV100131,A,New York,CUST1201,Julia Sanchez,Male,64,Member,Smartphones,Samsung Galaxy S23,768.37,1,20,9.19,768.37,153.67,56.49,671.19,Ewallet,2024-09-05 00:00:00,8
INV100132,D,Houston,CUST1327,Erica Pope,Male,50,Member,Audio,AirPods Pro,181.75,1,10,8.6,181.75,18.18,14.07,177.64,Cash,2024-02-18 00:00:00,6
INV100133,A,New York,CUST1313,Karen Thomas,Female,56,Member,Laptops,Lenovo ThinkPad T14,1147.94,1,10,8.57,1147.94,114.79,88.54,1121.69,Credit Card,2024-03-12 00:00:00,10
INV100134,C,Chicago,CUST1361,Ernest Dean,Male,35,Member,Appliances,Ninja Air Fryer,141.58,1,5,9.25,141.58,7.08,12.44,146.94,Credit Card,2024-01-26 00:00:00,6
INV100135,A,New York,CUST1389,Sydney Davis,Female,47,Non-Member,Accessories,Logitech MX Master 3 Mouse,112.86,1,5,10.18,112.86,5.64,10.91,118.13,Credit Card,2024-04-23 00:00:00,6
INV100136,B,Los Angeles,CUST1376,Beth Miller,Male,28,Member,Laptops,Dell XPS 13,1408.32,2,15,8.57,2816.64,422.5,205.18,2599.32,Cash,2024-04-23 00:00:00,10
